Year,Month,Day,Hour,Minute,Location,Latitude,Longitude,Magnitude,Deaths,Injuries,Damage in Millions,Damage Scale,Number of Houses Destroyed ,Scale of houses destroyed,Number of Houses Damaged,Scale of houses  damaged
1962,5,19,14,58,MEXICO: S,17.2,-99.5,7.2,3,16,,2,,2,,
1973,1,30,21,1,"MEXICO: S, FARIAS, TECOMAN",18.48,-103,7.5,56,390,,2,,2,,
1980,10,24,14,53,"MEXICO: S, HUAJAPAN DE LEON, OAXACA",18.211,-98.24,6.4,300,,5,2,,3,,
2010,6,30,7,22,MEXICO: SAN ANDRES HUAXPALTEPEC,16.396,-97.782,6.2,1,,,,,,,
2013,8,21,12,38,"MEXICO: SAN MARCOS, ACAPULCO",16.878,-99.498,6.2,,1,,1,,,,1
1985,9,21,1,37,MEXICO: SW COAST: MEXICO CITY,17.802,-101.647,7.6,,,,2,,,,
2014,5,8,17,1,MEXICO: TECPAN,17.235,-100.746,6.4,,,,1,,,,1
1973,8,28,9,50,"MEXICO: VERACRUZ, MEXICO CITY",18.27,-96.6,6.2,600,,,3,,,,
2002,1,30,8,42,"MEXICO: VERACRUZ: SAN ANDRES TUXTLA, TUXTEPEC",18.194,-95.908,5.9,,,,1,,,,2
2003,1,22,2,6,"MEXICO: VILLA DE ALVAREZ, COLIMA, TECOMAN, JALISCO",18.77,-104.104,7.5,29,300,,3,2005,4,6615,4
2017,9,19,18,14,"MEXICO: MEXICO CITY, MORELOS, PUEBLA",18.339,-98.68,7.1,369,,6000,4,226,3,27792,4
2017,9,8,4,49,"MEXICO: OAXACA, CHIAPAS, TABASCO; GUATEMALA",14.761,-94.103,8.2,98,,2300,4,5000,4,53152,4
2014,7,7,11,23,MEXICO; GUATEMALA: SAN MARCOS,14.728,-92.578,6.9,3,33,,1,,1,50,1
2003,4,29,8,59,"ALABAMA: FORT PAYNE,GAYLESVILLE,VALLEY HEAD",34.494,-85.629,4.6,,,,1,,,,
1957,3,9,14,22,ALASKA,51.292,-175.629,8.6,,,,1,,,,
1964,3,28,3,36,ALASKA,61.017,-147.648,9.2,15,,284,4,,3,,
1979,2,28,21,27,ALASKA,60.691,-141.671,7.5,,,,1,,,,
1989,9,4,13,14,ALASKA,55.543,-156.835,6.9,,,,,,,,
2015,7,27,4,49,ALASKA,52.214,-169.399,6.9,,,,,,,,
2007,8,2,3,21,ALASKA: ALEUTIAN ISLANDS,51.307,-179.971,6.7,,,,,,,,
2014,6,23,20,53,ALASKA: ALEUTIAN ISLANDS,51.849,178.735,7.9,,,,,,,,
1986,5,7,22,47,ALASKA: ALEUTIAN ISLANDS: ADAK,51.52,-174.776,8,,,,2,,,,2
1957,3,22,14,21,ALASKA: ALEUTIAN ISLANDS: FOX ISLANDS,55,-165.2,7.5,,,,,,,,
1962,12,21,8,42,ALASKA: ALEUTIAN ISLANDS: FOX ISLANDS,52.47,-168.54,6.5,,,,,,,,
1965,7,2,20,58,ALASKA: ALEUTIAN ISLANDS: FOX ISLANDS,53.03,-167.55,6.5,,,,1,,,,
2011,9,2,10,55,ALASKA: ALEUTIAN ISLANDS: FOX ISLANDS,52.171,-171.708,6.8,,,,,,,,
1975,2,2,8,43,ALASKA: ALEUTIAN ISLANDS: NEAR ISLANDS,53.11,173.5,7.6,,,,2,,,,
1965,2,4,5,1,ALASKA: ALEUTIAN ISLANDS: RAT ISLANDS,51.29,178.55,8.7,,,,1,,,,
1965,3,30,2,27,ALASKA: ALEUTIAN ISLANDS: RAT ISLANDS,50.32,177.93,7.6,,,,,,,,
1971,11,6,22,0,ALASKA: ALEUTIAN ISLANDS: RAT ISLANDS,51.5,179.1,5.7,,,,,,,,
2003,11,17,6,43,ALASKA: ALEUTIAN ISLANDS: RAT ISLANDS,51.146,178.65,7.8,,,,,,,,
2018,11,30,17,29,ALASKA: ANCHORAGE,61.34,-149.937,7,,117,100,4,2,1,1650,4
1970,3,11,22,38,ALASKA: ANDREANOF ISLANDS,57.5,-153.9,6,,,,1,,,,
1971,5,2,6,8,ALASKA: ANDREANOF ISLANDS,51.4,-177.2,7.1,,,,,,,,
1986,5,17,16,20,ALASKA: ANDREANOF ISLANDS,52.327,-174.504,6.4,,,,,,,,
1996,6,10,4,3,ALASKA: ANDREANOF ISLANDS,51.564,-177.632,7.9,,,,,,,,
1996,6,10,15,24,ALASKA: ANDREANOF ISLANDS,51.478,-176.847,7.3,,,,,,,,
2002,10,23,11,27,"ALASKA: CANTWELL, DENALI NATL PARK",63.514,-147.912,6.7,,,,2,,,,
1995,10,6,5,23,ALASKA: FAIRBANKS NORTH STAR COUNTY,65.17,-148.565,6,,,,1,,,,
1987,11,17,8,46,ALASKA: GULF OF ALASKA,58.586,-143.27,7.2,,,,,,,,
1988,3,6,22,35,ALASKA: GULF OF ALASKA: ANCHORAGE,57.262,-142.747,7.8,,,,1,,,,
2016,1,24,10,30,ALASKA: KENAI,59.658,-153.452,7.1,,,,1,4,1,,
2018,1,23,9,31,ALASKA: KODIAK ISLAND,56.046,-149.073,7.9,,,,1,,,,
1958,7,10,6,15,ALASKA: LITUYA BAY,58.37,-136.665,7.8,,,,1,,1,,
1983,7,12,15,10,ALASKA: PRINCE WILLIAM SOUND,61.031,-147.286,6.1,,,1,2,,,,
1972,7,30,21,45,"ALASKA: SITKA, JUNEAU",56.82,-135.68,7.6,,,,1,,,,
2002,11,3,22,12,"ALASKA: SLANA, MENTASTA LAKE, FAIRBANKS",63.517,-147.444,7.9,,1,56,4,,,,
2013,1,5,8,58,ALASKA: SOUTHEASTERN,55.393,-134.652,7.5,,,,,,,,
2014,7,25,10,55,ALASKA: SOUTHEASTERN,58.306,-136.96,6.1,,,,,,,,
1987,11,30,19,23,ALASKA: YAKUTAT,58.679,-142.786,7.9,,,,1,,,,
2011,6,24,3,9,ALASKA: ALEUTIAN ISLANDS: FOX ISLANDS,52.05,-171.836,7.3,,,,,,,,
1986,7,21,14,42,CALIFORNIA-NEVADA: CHALFANT VALLEY,37.537,-118.447,6.2,,,1,2,,,,
1991,6,28,14,43,"CALIFORNIA: ARCADIA, GLENDALE, LOS ANGELES",34.262,-118.002,5.1,2,104,33.5,4,,,,
2003,2,22,12,19,CALIFORNIA: BIG BEAR CITY,34.31,-116.848,5.2,,,,1,,,,
1983,5,2,23,42,"CALIFORNIA: CENTRAL, COALINGA",36.219,-120.317,6.2,,45,31,4,500,3,,
1984,4,24,21,15,CALIFORNIA: CENTRAL: MORGAN HILL,37.32,-121.698,6.1,,27,8,3,,,,
2004,9,28,17,15,"CALIFORNIA: CENTRAL: PARKFIELD, SAN MIGUEL",35.819,-120.364,6,,,,1,,,,
1994,12,26,14,10,"CALIFORNIA: EUREKA, SAMOA, ARCATA, BLUE LAKE",40.741,-124.31,5.5,,,2.1,2,,,,
1991,8,17,19,29,"CALIFORNIA: HONEYDEW, WHITETHORN, PETROLIA",40.235,-124.348,6.2,,,,2,,,,
1979,10,15,23,16,CALIFORNIA: IMPERIAL VALLEY; MEXICO: MEXICALI,32.634,-115.324,6.9,,91,30,4,,,,
1992,4,23,4,50,"CALIFORNIA: JOSHUA TREE, ANGELUS OAKS",33.961,-116.318,6.3,,32,,2,,,,
1952,7,21,11,52,CALIFORNIA: KERN COUNTY,35,-119.017,7.7,12,,60,4,,3,,2
1952,8,22,22,41,CALIFORNIA: KERN COUNTY,35.333,-118.917,5.8,2,,10,3,90,2,,
